Lab,Sample,14C BP ,14C Age SD,Lab Error,Age Span,Uncorrected 14C,Uncorrected 14C SD,d13C,d13C SD,Delta R,Delta R SD,Marine Carbon,Description,CalCurve
code,code,(CRA),years,or added variance f**2,years,date,years,per mil,years,years,years,percentage,optional,Number
177453,WOMT-01d5,480,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177454,WOMT-01d19,680,40,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177455,WOMT-02d2,575,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177456,WOMT-02d15,365,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177458,SALM-01d0,365,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177459,SALM-01d13,175,40,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177580,SALM-03d3,840,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177581,SALM-03d22,90,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177461,GOG-01d18,445,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177462,GOG-02d4,90,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177463,GOG-02d16,155,35,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
175998,GOV-01d7,1010,35,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177582,GOV-01d23,1050,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177583,GOV-01d31,4095,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177078,GOV-01d31,4490,60,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177079,GOV-01d38,4185,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177584,GOV-01d50,4075,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177080,GOV-01d50,4155,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177585,GOV-01d52,4105,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177081,GOV-01d52,4355,35,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
175999,GOV-01d67,2615,40,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177082,SCT-01d16,680,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177083,SCT-01d20,1255,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177084,WORM-01d11,2285,35,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
175996,WORM-03d12,6000,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
175997,WORM-03d110,5845,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177464,HEAD-04d83,1505,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177465,RIDG-02d2,875,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177457,RIDG-02d11,2245,35,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177577,RIDG-01d19,830,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177578,EELS-01d6,305,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177579,EELS-01d13,75,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177586,WOLF-01d5,580,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177588,WOLF-02d3,1420,35,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177589,WOLF-03d10,3615,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177590,WOLF-03d45,265,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177591,WOLF-04d10,420,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177592,WORF-02d3,1155,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177593,WORF-02d20,985,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177594,WORF-03d8,3805,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2
177595,WORF-05d7,200,30,1,0,0,0,0,0,0,0,0,Northern Hemisphere terrestrial sample,2