site,site_id,sample_id,site_type,depth_category,mgC_g,type
RIDG,RIDG_01,RIDG_01A,ridgetop mineral soil,A,13.8624339,kmd
RIDG,RIDG_01,RIDG_01B,ridgetop mineral soil,B,11.3526174,kmd
RIDG,RIDG_01,RIDG_01C,ridgetop mineral soil,C,1.6498632,kmd
RIDG,RIDG_01,RIDG_01D,ridgetop mineral soil,D,3.4804676,kmd
RIDG,RIDG_01,RIDG_01E,ridgetop mineral soil,E,1.7286631,kmd
RIDG,RIDG_01,RIDG_01F,ridgetop mineral soil,F,1.7647641,kmd
RIDG,RIDG_01,RIDG_01G,ridgetop mineral soil,G,1.693492,kmd
RIDG,RIDG_02,RIDG_02A,ridgetop mineral soil,A,17.2587114,kmd
RIDG,RIDG_02,RIDG_02B,ridgetop mineral soil,B,3.5086385,kmd
RIDG,RIDG_02,RIDG_02C,ridgetop mineral soil,C,4.3293872,kmd
RIDG,RIDG_02,RIDG_02D,ridgetop mineral soil,D,2.6073951,kmd
RIDG,RIDG_02,RIDG_02E,ridgetop mineral soil,E,2.6128041,kmd
RIDG,RIDG_02,RIDG_02F,ridgetop mineral soil,F,1.7960134,kmd
RIDG,RIDG_02,RIDG_02G,ridgetop mineral soil,G,3.2444672,kmd
EELS,EELS_01,EELS_01A,valley mineral soil,A,7.7310037,kmd
EELS,EELS_01,EELS_01B,valley mineral soil,B,5.809628,kmd
EELS,EELS_01,EELS_01C,valley mineral soil,C,5.9545988,kmd
EELS,EELS_01,EELS_01D,valley mineral soil,D,4.3761311,kmd
EELS,EELS_01,EELS_01E,valley mineral soil,E,3.3298451,kmd
EELS,EELS_01,EELS_01F,valley mineral soil,F,2.4442923,kmd
EELS,EELS_01,EELS_01G,valley mineral soil,G,2.6692913,kmd
SALM,SALM_01,SALM_01A,ridgetop mineral soil,A,5.4032847,kmd
SALM,SALM_01,SALM_01B,ridgetop mineral soil,B,6.828592,kmd
SALM,SALM_01,SALM_01C,ridgetop mineral soil,C,5.2873733,kmd
SALM,SALM_01,SALM_01D,ridgetop mineral soil,D,4.1187356,kmd
SALM,SALM_01,SALM_01E,ridgetop mineral soil,E,3.4039874,kmd
SALM,SALM_01,SALM_01F,ridgetop mineral soil,F,4.1013072,kmd
SALM,SALM_01,SALM_01G,ridgetop mineral soil,G,7.0027347,kmd
SALM,SALM_02,SALM_02A,hillslope mineral soil,A,14.287215,kmd
SALM,SALM_02,SALM_02B,hillslope mineral soil,B,6.9180516,kmd
SALM,SALM_02,SALM_02C,hillslope mineral soil,C,4.1981373,kmd
SALM,SALM_02,SALM_02D,hillslope mineral soil,D,4.261151,kmd
SALM,SALM_02,SALM_02E,hillslope mineral soil,E,2.6065122,kmd
SALM,SALM_02,SALM_02F,hillslope mineral soil,F,6.914973,kmd
SALM,SALM_02,SALM_02G,hillslope mineral soil,G,6.6411389,kmd
SALM,SALM_03,SALM_03A,ridgetop mineral soil,A,5.0498261,kmd
SALM,SALM_03,SALM_03B,ridgetop mineral soil,B,6.8779685,kmd
SALM,SALM_03,SALM_03C,ridgetop mineral soil,C,5.21883,kmd
SALM,SALM_03,SALM_03D,ridgetop mineral soil,D,4.3106362,kmd
SALM,SALM_03,SALM_03E,ridgetop mineral soil,E,2.6760505,kmd
SALM,SALM_03,SALM_03F,ridgetop mineral soil,F,2.6361912,kmd
SALM,SALM_03,SALM_03G,ridgetop mineral soil,G,1.7361969,kmd
GOG,GOG_01,GOG_01A,ridgetop mineral soil,A,4.8896028,kmd
GOG,GOG_01,GOG_01B,ridgetop mineral soil,B,7.2993668,kmd
GOG,GOG_01,GOG_01C,ridgetop mineral soil,C,4.9776864,kmd
GOG,GOG_01,GOG_01D,ridgetop mineral soil,D,3.3925129,kmd
GOG,GOG_01,GOG_01E,ridgetop mineral soil,E,1.7633494,kmd
GOG,GOG_01,GOG_01F,ridgetop mineral soil,F,1.8844737,kmd
GOG,GOG_01,GOG_01G,ridgetop mineral soil,G,1.7840718,kmd
GOG,GOG_02,GOG_02A,ridgetop mineral soil,A,4.931499,kmd
GOG,GOG_02,GOG_02B,ridgetop mineral soil,B,8.9478236,kmd
GOG,GOG_02,GOG_02C,ridgetop mineral soil,C,5.880295,kmd
GOG,GOG_02,GOG_02D,ridgetop mineral soil,D,3.4448062,kmd
GOG,GOG_02,GOG_02E,ridgetop mineral soil,E,3.4165603,kmd
GOG,GOG_02,GOG_02F,ridgetop mineral soil,F,1.764968,kmd
GOG,GOG_02,GOG_02G,ridgetop mineral soil,G,1.7236999,kmd
WORF,WORF_01,WORF_01A,hillslope mineral soil,A,8.4617924,kmd
WORF,WORF_01,WORF_01B,hillslope mineral soil,B,37.3935675,kmd
WORF,WORF_01,WORF_01C,hillslope mineral soil,C,7.8138549,kmd
WORF,WORF_01,WORF_01D,hillslope mineral soil,D,9.5775385,kmd
WORF,WORF_01,WORF_01E,hillslope mineral soil,E,4.7694238,kmd
WORF,WORF_01,WORF_01F,hillslope mineral soil,F,3.6195509,kmd
WORF,WORF_01,WORF_01G,hillslope mineral soil,G,4.1910779,kmd
WORF,WORF_02,WORF_02A,hillslope mineral soil,A,21.9473518,kmd
WORF,WORF_02,WORF_02B,hillslope mineral soil,B,16.9831551,kmd
WORF,WORF_02,WORF_02C,hillslope mineral soil,C,11.6861192,kmd
WORF,WORF_02,WORF_02D,hillslope mineral soil,D,6.3315868,kmd
WORF,WORF_02,WORF_02E,hillslope mineral soil,E,8.9222749,kmd
WORF,WORF_02,WORF_02F,hillslope mineral soil,F,7.0974364,kmd
WORF,WORF_02,WORF_02G,hillslope mineral soil,G,4.1807718,kmd
WORF,WORF_03,WORF_03A,ridgetop mineral soil,A,5.6823864,kmd
WORF,WORF_03,WORF_03B,ridgetop mineral soil,B,4.3230845,kmd
WORF,WORF_03,WORF_03C,ridgetop mineral soil,C,4.2152886,kmd
WORF,WORF_03,WORF_03D,ridgetop mineral soil,D,3.7509426,kmd
WORF,WORF_03,WORF_03E,ridgetop mineral soil,E,3.4361614,kmd
WORF,WORF_03,WORF_03F,ridgetop mineral soil,F,2.6732533,kmd
WORF,WORF_03,WORF_03G,ridgetop mineral soil,G,3.2467223,kmd
WORF,WORF_04,WORF_04A,ridgetop mineral soil,A,7.4991192,kmd
WORF,WORF_04,WORF_04B,ridgetop mineral soil,B,3.3044474,kmd
WORF,WORF_04,WORF_04C,ridgetop mineral soil,C,3.320694,kmd
WORF,WORF_04,WORF_04D,ridgetop mineral soil,D,1.874079,kmd
WORF,WORF_04,WORF_04E,ridgetop mineral soil,E,1.637125,kmd
WORF,WORF_04,WORF_04F,ridgetop mineral soil,F,1.764634,kmd
WORF,WORF_04,WORF_04G,ridgetop mineral soil,G,3.659622,kmd
WORF,WORF_05,WORF_05A,ridgetop mineral soil,A,6.190683,kmd
WORF,WORF_05,WORF_05B,ridgetop mineral soil,B,4.59453,kmd
WORF,WORF_05,WORF_05C,ridgetop mineral soil,C,2.926318,kmd
WORF,WORF_05,WORF_05D,ridgetop mineral soil,D,2.688676,kmd
WORF,WORF_05,WORF_05E,ridgetop mineral soil,E,2.184214,kmd
WORF,WORF_05,WORF_05F,ridgetop mineral soil,F,2.247986,kmd
WORF,WORF_05,WORF_05G,ridgetop mineral soil,G,2.038884,kmd
WOLF,WOLF_01,WOLF_01A,hillslope mineral soil,A,8.0316542,kmd
WOLF,WOLF_01,WOLF_01B,hillslope mineral soil,B,5.0410798,kmd
WOLF,WOLF_01,WOLF_01C,hillslope mineral soil,C,1.7503509,kmd
WOLF,WOLF_01,WOLF_01D,hillslope mineral soil,D,1.8558869,kmd
WOLF,WOLF_01,WOLF_01E,hillslope mineral soil,E,1.8505968,kmd
WOLF,WOLF_01,WOLF_01F,hillslope mineral soil,F,0.9369143,kmd
WOLF,WOLF_01,WOLF_01G,hillslope mineral soil,G,1.4736225,kmd
WOLF,WOLF_02,WOLF_02A,hillslope mineral soil,A,8.4275082,kmd
WOLF,WOLF_02,WOLF_02B,hillslope mineral soil,B,8.0724995,kmd
WOLF,WOLF_02,WOLF_02C,hillslope mineral soil,C,7.9200671,kmd
WOLF,WOLF_02,WOLF_02D,hillslope mineral soil,D,3.6346743,kmd
WOLF,WOLF_02,WOLF_02E,hillslope mineral soil,E,2.7061885,kmd
WOLF,WOLF_02,WOLF_O2F,hillslope mineral soil,F,1.8050497,kmd
WOLF,WOLF_02,WOLF_02G,hillslope mineral soil,G,1.7761387,kmd
WOLF,WOLF_03,WOLF_03A,ridgetop mineral soil,A,8.0157812,kmd
WOLF,WOLF_03,WOLF_03B,ridgetop mineral soil,B,5.9494427,kmd
WOLF,WOLF_03,WOLF_03C,ridgetop mineral soil,C,3.4958804,kmd
WOLF,WOLF_03,WOLF_03D,ridgetop mineral soil,D,1.8139052,kmd
WOLF,WOLF_03,WOLF_03E,ridgetop mineral soil,E,2.5781858,kmd
WOLF,WOLF_03,WOLF_03F,ridgetop mineral soil,F,2.6867928,kmd
WOLF,WOLF_03,WOLF_03G,ridgetop mineral soil,G,2.6895543,kmd
WOLF,WOLF_04,WOLF_04A,ridgetop mineral soil,A,9.4868135,kmd
WOLF,WOLF_04,WOLF_04B,ridgetop mineral soil,B,5.8840065,kmd
WOLF,WOLF_04,WOLF_04C,ridgetop mineral soil,C,5.726417,kmd
WOLF,WOLF_04,WOLF_04D,ridgetop mineral soil,D,3.3716958,kmd
WOLF,WOLF_04,WOLF_04E,ridgetop mineral soil,E,2.6752278,kmd
WOLF,WOLF_04,WOLF_04F,ridgetop mineral soil,F,2.6575286,kmd
WOLF,WOLF_04,WOLF_04G,ridgetop mineral soil,G,1.7733711,kmd
RIDG,RIDG_01,RIDG_01A,ridgetop mineral soil,A,0.03868472,sieved
RIDG,RIDG_01,RIDG_01B,ridgetop mineral soil,B,1.562588302,sieved
RIDG,RIDG_01,RIDG_01C,ridgetop mineral soil,C,3.88803872,sieved
RIDG,RIDG_01,RIDG_01D,ridgetop mineral soil,D,2.109765692,sieved
RIDG,RIDG_01,RIDG_01E,ridgetop mineral soil,E,2.37116837,sieved
RIDG,RIDG_01,RIDG_01F,ridgetop mineral soil,F,2.826758382,sieved
RIDG,RIDG_01,RIDG_01G,ridgetop mineral soil,G,0.108932462,sieved
RIDG,RIDG_02,RIDG_02A,ridgetop mineral soil,A,1.197110423,sieved
RIDG,RIDG_02,RIDG_02B,ridgetop mineral soil,B,1.453291875,sieved
RIDG,RIDG_02,RIDG_02C,ridgetop mineral soil,C,2.934449704,sieved
RIDG,RIDG_02,RIDG_02D,ridgetop mineral soil,D,2.045291577,sieved
RIDG,RIDG_02,RIDG_02E,ridgetop mineral soil,E,0.702793336,sieved
RIDG,RIDG_02,RIDG_02F,ridgetop mineral soil,F,0.132981311,sieved
RIDG,RIDG_02,RIDG_02G,ridgetop mineral soil,G,0.002766175,sieved
EELS,EELS_01,EELS_01A,valley mineral soil,A,1259.52381,sieved
EELS,EELS_01,EELS_01B,valley mineral soil,B,1.261179781,sieved
EELS,EELS_01,EELS_01C,valley mineral soil,C,0.887004845,sieved
EELS,EELS_01,EELS_01D,valley mineral soil,D,2.42553142,sieved
EELS,EELS_01,EELS_01E,valley mineral soil,E,1.09905795,sieved
EELS,EELS_01,EELS_01F,valley mineral soil,F,0.458257301,sieved
EELS,EELS_01,EELS_01G,valley mineral soil,G,0.400437378,sieved
SALM,SALM_01,SALM_01A,ridgetop mineral soil,A,0,sieved
SALM,SALM_01,SALM_01B,ridgetop mineral soil,B,0,sieved
SALM,SALM_01,SALM_01C,ridgetop mineral soil,C,10.0596799,sieved
SALM,SALM_01,SALM_01D,ridgetop mineral soil,D,2.226996081,sieved
SALM,SALM_01,SALM_01E,ridgetop mineral soil,E,7.974669484,sieved
SALM,SALM_01,SALM_01F,ridgetop mineral soil,F,6.986317824,sieved
SALM,SALM_01,SALM_01G,ridgetop mineral soil,G,1.713061335,sieved
SALM,SALM_02,SALM_02A,hillslope mineral soil,A,0,sieved
SALM,SALM_02,SALM_02B,hillslope mineral soil,B,0,sieved
SALM,SALM_02,SALM_02C,hillslope mineral soil,C,0.455407669,sieved
SALM,SALM_02,SALM_02D,hillslope mineral soil,D,0.822826603,sieved
SALM,SALM_02,SALM_02E,hillslope mineral soil,E,0.7923125,sieved
SALM,SALM_02,SALM_02F,hillslope mineral soil,F,2.146894215,sieved
SALM,SALM_02,SALM_02G,hillslope mineral soil,G,0.460526211,sieved
SALM,SALM_03,SALM_03A,ridgetop mineral soil,A,0,sieved
SALM,SALM_03,SALM_03B,ridgetop mineral soil,B,8.533869822,sieved
SALM,SALM_03,SALM_03C,ridgetop mineral soil,C,12.11395836,sieved
SALM,SALM_03,SALM_03D,ridgetop mineral soil,D,6.308383477,sieved
SALM,SALM_03,SALM_03E,ridgetop mineral soil,E,6.492152585,sieved
SALM,SALM_03,SALM_03F,ridgetop mineral soil,F,2.604932851,sieved
SALM,SALM_03,SALM_03G,ridgetop mineral soil,G,0.636946414,sieved
GOG,GOG_01,GOG_01A,ridgetop mineral soil,A,0,sieved
GOG,GOG_01,GOG_01B,ridgetop mineral soil,B,0.741035613,sieved
GOG,GOG_01,GOG_01C,ridgetop mineral soil,C,5.839138154,sieved
GOG,GOG_01,GOG_01D,ridgetop mineral soil,D,8.163648654,sieved
GOG,GOG_01,GOG_01E,ridgetop mineral soil,E,5.878390225,sieved
GOG,GOG_01,GOG_01F,ridgetop mineral soil,F,1.82621339,sieved
GOG,GOG_01,GOG_01G,ridgetop mineral soil,G,0.994492965,sieved
GOG,GOG_02,GOG_02A,ridgetop mineral soil,A,0,sieved
GOG,GOG_02,GOG_02B,ridgetop mineral soil,B,0.03982953,sieved
GOG,GOG_02,GOG_02C,ridgetop mineral soil,C,0.001782372,sieved
GOG,GOG_02,GOG_02D,ridgetop mineral soil,D,6.915583812,sieved
GOG,GOG_02,GOG_02E,ridgetop mineral soil,E,0.73815059,sieved
GOG,GOG_02,GOG_02F,ridgetop mineral soil,F,134.2490203,sieved
GOG,GOG_02,GOG_02G,ridgetop mineral soil,G,0.552886841,sieved
WORF,WORF_01,WORF_01A,hillslope mineral soil,A,8.987137888,sieved
WORF,WORF_01,WORF_01B,hillslope mineral soil,B,12.79687164,sieved
WORF,WORF_01,WORF_01C,hillslope mineral soil,C,15.92222849,sieved
WORF,WORF_01,WORF_01D,hillslope mineral soil,D,2.580840857,sieved
WORF,WORF_01,WORF_01E,hillslope mineral soil,E,4.532909909,sieved
WORF,WORF_01,WORF_01F,hillslope mineral soil,F,0.923294394,sieved
WORF,WORF_01,WORF_01G,hillslope mineral soil,G,0.374701626,sieved
WORF,WORF_02,WORF_02A,hillslope mineral soil,A,2.013080296,sieved
WORF,WORF_02,WORF_02B,hillslope mineral soil,B,1.088182671,sieved
WORF,WORF_02,WORF_02C,hillslope mineral soil,C,0.86597847,sieved
WORF,WORF_02,WORF_02D,hillslope mineral soil,D,0.435738008,sieved
WORF,WORF_02,WORF_02E,hillslope mineral soil,E,0.001095201,sieved
WORF,WORF_02,WORF_02F,hillslope mineral soil,F,0.001122827,sieved
WORF,WORF_02,WORF_02G,hillslope mineral soil,G,0,sieved
WORF,WORF_03,WORF_03A,ridgetop mineral soil,A,5.742773054,sieved
WORF,WORF_03,WORF_03B,ridgetop mineral soil,B,1.526116114,sieved
WORF,WORF_03,WORF_03C,ridgetop mineral soil,C,2.036241124,sieved
WORF,WORF_03,WORF_03D,ridgetop mineral soil,D,2.209954253,sieved
WORF,WORF_03,WORF_03E,ridgetop mineral soil,E,3.528057991,sieved
WORF,WORF_03,WORF_03F,ridgetop mineral soil,F,0.596007725,sieved
WORF,WORF_03,WORF_03G,ridgetop mineral soil,G,0,sieved
WORF,WORF_04,WORF_04A,ridgetop mineral soil,A,1.51199986,sieved
WORF,WORF_04,WORF_04B,ridgetop mineral soil,B,2.795042388,sieved
WORF,WORF_04,WORF_04C,ridgetop mineral soil,C,0.904092664,sieved
WORF,WORF_04,WORF_04D,ridgetop mineral soil,D,1.606185662,sieved
WORF,WORF_04,WORF_04E,ridgetop mineral soil,E,0.001113099,sieved
WORF,WORF_04,WORF_04F,ridgetop mineral soil,F,0.627719094,sieved
WORF,WORF_04,WORF_04G,ridgetop mineral soil,G,0.00209055,sieved
WORF,WORF_05,WORF_05A,ridgetop mineral soil,A,4.961539105,sieved
WORF,WORF_05,WORF_05B,ridgetop mineral soil,B,5.391357794,sieved
WORF,WORF_05,WORF_05C,ridgetop mineral soil,C,2.958908548,sieved
WORF,WORF_05,WORF_05D,ridgetop mineral soil,D,1.544473658,sieved
WORF,WORF_05,WORF_05E,ridgetop mineral soil,E,0.531393959,sieved
WORF,WORF_05,WORF_05F,ridgetop mineral soil,F,0.001149098,sieved
WORF,WORF_05,WORF_05G,ridgetop mineral soil,G,0.001309548,sieved
WOLF,WOLF_01,WOLF_01A,hillslope mineral soil,A,12.23661451,sieved
WOLF,WOLF_01,WOLF_01B,hillslope mineral soil,B,10.65944965,sieved
WOLF,WOLF_01,WOLF_01C,hillslope mineral soil,C,12.18767227,sieved
WOLF,WOLF_01,WOLF_01D,hillslope mineral soil,D,0.748912534,sieved
WOLF,WOLF_01,WOLF_01E,hillslope mineral soil,E,0.673675682,sieved
WOLF,WOLF_01,WOLF_01F,hillslope mineral soil,F,1.615919213,sieved
WOLF,WOLF_01,WOLF_01G,hillslope mineral soil,G,1.360892178,sieved
WOLF,WOLF_02,WOLF_02A,hillslope mineral soil,A,23.8465089,sieved
WOLF,WOLF_02,WOLF_02B,hillslope mineral soil,B,16.81288453,sieved
WOLF,WOLF_02,WOLF_02C,hillslope mineral soil,C,1.520875353,sieved
WOLF,WOLF_02,WOLF_02D,hillslope mineral soil,D,0,sieved
WOLF,WOLF_02,WOLF_02E,hillslope mineral soil,E,0.30250198,sieved
WOLF,WOLF_02,WOLF_O2F,hillslope mineral soil,F,0.294702719,sieved
WOLF,WOLF_02,WOLF_02G,hillslope mineral soil,G,0.146841826,sieved
WOLF,WOLF_03,WOLF_03A,ridgetop mineral soil,A,8.863777237,sieved
WOLF,WOLF_03,WOLF_03B,ridgetop mineral soil,B,4.158220368,sieved
WOLF,WOLF_03,WOLF_03C,ridgetop mineral soil,C,3.470645068,sieved
WOLF,WOLF_03,WOLF_03D,ridgetop mineral soil,D,4.910910505,sieved
WOLF,WOLF_03,WOLF_03E,ridgetop mineral soil,E,1.062114181,sieved
WOLF,WOLF_03,WOLF_03F,ridgetop mineral soil,F,0.240098474,sieved
WOLF,WOLF_03,WOLF_03G,ridgetop mineral soil,G,0.001398429,sieved
WOLF,WOLF_04,WOLF_04A,ridgetop mineral soil,A,0.099304455,sieved
WOLF,WOLF_04,WOLF_04B,ridgetop mineral soil,B,4.151473706,sieved
WOLF,WOLF_04,WOLF_04C,ridgetop mineral soil,C,3.992864435,sieved
WOLF,WOLF_04,WOLF_04D,ridgetop mineral soil,D,6.123241055,sieved
WOLF,WOLF_04,WOLF_04E,ridgetop mineral soil,E,0,sieved
WOLF,WOLF_04,WOLF_04F,ridgetop mineral soil,F,0.143557926,sieved
WOLF,WOLF_04,WOLF_04G,ridgetop mineral soil,G,0,sieved