Longitude,Latitude ,Site_code,Site_name
N 40°38.047’,W 124°02.091’,RIDG-01,Ridge trail
N 40°38.089’,W 124°02.060’,RIDG-02,
N 40°38.177’,W 124°01.859’,EELS-01,Elk River Headwaters
N 40°37.679’,W 124°05.525’,SALM-01,Salmon trail
N 40°37.702’,W 124°05.603’,SALM-02,
N 40°37. 751’,W 124°05.630’,SALM-03,
N 40°38.026’,W 124°03.698’,WORF-01,Right fork of Worm Trail
N 40°38.034’,W 124°03.712’,WORF-02,
N 40°37. 858',W 124°03.587',WORF-03,
N 40°37.827’,W 124°03.587’,WORF-04,
N 40°37.831’,W 124°03.566’,WORF-05,
, ,,