Lab Code,SITE,Site code,Sample Code,site type,corrected error,Depth,lower cal bp 1 sigma,upper cal BP 1 sigma,lower cal bp 2 sigma,upper cal BP 2 sigma,median probability,calendar age,LAT(D.D.),LONG(D.D.),SLOPE,ELEVATION,ASPECT
175996,WORM,WORM_03,WORM-03d12,alluv,30,12,6795,6882,6749,6927,6839,-4821,,,15.8233995,9.01793,399.7139893
175997,WORM,WORM_03,WORM-03d110,alluv,30,110,6636,6719,6564,6739,6666,-4648,,,15.8233995,9.01793,399.7139893
177078,GOV,GOV_01,GOV-01d31b,ms,60,31,5046,5286,4891,5313,5145,-3127,,,,,
177081,GOV,GOV_01,GOV-01d52b,ms,35,52,4863,4960,4848,5036,4921,-2903,,,,,
177079,GOV,GOV_01,GOV-01d38,ms,30,38,4650,4829,4618,4837,4727,-2709,,,,,
177080,GOV,GOV_01,GOV-01d50b,ms,30,50,4625,4818,4580,4826,4700,-2682,,,,,
177585,GOV,GOV_01,GOV-01d52,ms,30,52,4530,4797,4455,4813,4621,-2603,,,,,
177583,GOV,GOV_01,GOV-01d31,ms,30,31,4527,4786,4450,4809,4603,-2585,,,,,
177584,GOV,GOV_01,GOV-01d50,ms,30,50,4452,4782,4442,4804,4565,-2547,,,,,
177594,WORF,WORF_03,WORF-03d8,ms,30,8,4150,4238,4089,4291,4193,-2175,,,6.0380802 318.8139954 598.0100098,,
177589,WOLF,WOLF_03,WOLF-03d10,ms,30,10,3888,3971,3841,4062,3924,-1906,,,0.995839,254.0220032,540.2490234
175999,GOV,GOV_01,GOV-01d67,ms,40,67,2731,2767,2543,2844,2750,-732,,,,,
177084,WORM,WORM_01,WORM-01d11,ms,35,11,2207,2349,2159,2354,2315,-297,,,3.1514699 226.0850067 538.3809814,,
177457,RIDG,RIDG_02,RIDG-02d11,ms,30,11,2163,2331,2153,2343,2232,-214,,,9.4383698,340.5769958,386.447998
177588,WOLF,WOLF_02,WOLF-02d3,ms,30,3,1298,1341,1287,1377,1324,694,,,,,
177083,SCT,SCT_01,SCT-01d20,ms,30,20,1178,1261,1083,1278,1214,804,,,2.0416999,22.7880993,504.2980042
177592,WORF,WORF_02,WORF-02d3,ms,30,3,990,1172,982,1175,1070,948,,,4.0654602,307.2200012,574.7860107
177582,GOV,GOV_01,GOV-01d23,ms,30,23,931,970,924,1050,957,1061,,,,,
175998,GOV,GOV_01,GOV-01d7,ms,35,7,910,964,798,1040,931,1087,,,,,
177593,WORF,WORF_02,WORF-02d20,ms,30,20,803,934,797,959,904,1114,,,4.0654602,307.2200012,574.7860107
177465,RIDG,RIDG_02,RIDG-02d2,ms,30,2,734,892,709,907,781,1237,,,9.4383698,340.5769958,386.447998
177580,SALM,SALM_03,SALM-03d3,ms,30,3,709,784,686,891,747,1271,,,13.3576002,247.4649963,494.3479919
177577,RIDG,RIDG_01,RIDG-01d19,ms,35,19,700,761,688,789,737,1281,,,13.6982002 358.3009949 402.9450073,,
177082,SCT,SCT_01,SCT-01d16,ms,30,16,569,672,561,680,652,1366,,,2.0416999,22.7880993,504.2980042
177454,WOMT,WOMT_01,WOMT-01d19,ms,40,19,565,674,556,687,645,1373,,,,,
177586,WOLF,WOLF_01,WOLF-01d5,ms,30,5,543,633,533,649,604,1414,,,1.11294,98.2265015,529.8400269
177455,WOMT,WOMT_02,WOMT-02d2,ms,30,2,541,632,530,648,603,1415,,,,,
177453,WOMT,WOMT_01,WOMT-01d5,ms,30,5,508,529,499,542,520,1498,,,,,
177461,GOG,GOG_01,GOG-01d18,ms,30,18,495,520,465,534,507,1511,,,15.8218002,315.6419983,519.8280029
177591,WOLF,WOLF_04,WOLF-04d10,ms,30,10,473,512,333,523,491,1527,,,2.67647 225.0919952 539.164978,,
177456,WOMT,WOMT_02,WOMT-02d15,ms,30,15,330,492,316,501,429,1589,,,,,
177458,SALM,SALM_01,SALM-01d0,ms,30,0,330,492,316,501,429,1589,,,1.69502 10.4068003 504.822998,,
177578,EELS,EELS_01,EELS-01d6,ms,30,6,306,429,299,462,388,1630,,,10.0042,264.1229858,356.7460022
177590,WOLF,WOLF_03,WOLF-03d45,ms,35,45,159,422,1,433,310,1708,,,0.995839,254.0220032,540.2490234
,norman_jennings,,,,,,,,,,,1764,,,,,
,,,,,,,,,,,,1766,,,,,
,,,,,,,,,,,,1808,,,,,
,,,,,,,,,,,,1834,,,,,
177595,WORF,WORF_05,WORF-05d7,ms,30,7,1,292,1,303,180,1838,,,24.9881992,16.8547993,439.0379944
177459,SALM,SALM_01,SALM-01d13,ms,40,13,1,285,1,298,176,1842,,,1.69502,10.4068003,504.822998
177463,GOG,GOG_02,GOG-02d16,ms,35,16,4,281,1,285,169,1849,,,9.0565996,194.4450073,526.6920166
,,,,,,,,,,,,1850,,,,,
,,,,,,,,,,,,1873,,,,,
,,,,,,,,,,,,1883,,,,,
177581,SALM,SALM_03,SALM-03d22,ms,30,22,33,254,22,265,108,1910,,,13.3576002,247.4649963,494.3479919
177462,GOG,GOG_02,GOG-02d4,ms,30,4,33,254,22,265,108,1910,,,9.0565996,194.4450073,526.6920166
177579,EELS,EELS_01,EELS-01d13,ms,30,13,34,252,27,259,103,1915,,,10.0042,264.1229858,356.7460022
,,,,,,,,,,,,1917,,,,,
,,,,,,,,,,,,1936,,,,,