FID,Field1,Field2,Field3,Aspect_grd,Slope_grdn,grdn41w125,site_type
0,40.636282999999999,-124.030983000000010,EELS_01,264.1229858,10.0042000,356.7460022,
1,40.634816999999998,-124.034333000000000,RIDG_02,340.5769958,9.4383698,386.4479980,
2,40.634117000000003,-124.034850000000010,RIDG_01,358.3009949,13.6982002,402.9450073,
3,40.633899999999997,-124.061867000000010,WORF_02,307.2200012,4.0654602,574.7860107,
4,40.633766999999999,-124.061633000000000,WORF_01,311.6679993,2.8275399,577.0410156,
5,40.630966999999998,-124.059783000000000,WORF_03,318.8139954,6.0380802,598.0100098,
6,40.630450000000003,-124.059950000000000,WORF_04,198.1609955,10.3055000,593.5219727,
7,40.629182999999998,-124.093833000000000,SALM_03,247.4649963,13.3576002,494.3479919,
8,40.629033000000000,-124.064217000000000,WOLF_03,254.0220032,0.9958390,540.2490234,
9,40.628767000000003,-124.064400000000010,WOLF_04,225.0919952,2.6764700,539.1649780,
10,40.628709999999998,-124.064539999999990,WORM_01,226.0850067,3.1514699,538.3809814,
11,40.628929999999997,-124.064350000000000,WORM_02,229.3979950,1.6473500,539.9099731,
12,40.628366999999997,-124.093383000000000,SALM_02,218.7019958,16.8530998,493.6400146,
13,40.627983000000000,-124.092083000000000,SALM_01,10.4068003,1.6950200,504.8229980,
14,40.628183000000000,-124.070017000000010,WOLF_01,98.2265015,1.1129400,529.8400269,
15,40.628050000000002,-124.070449999999990,WOLF_02,177.2330017,1.3646801,530.0780029,
16,40.628101999999998,-124.092083000000000,SCT_01,22.7880993,2.0416999,504.2980042,
17,40.623016999999997,-124.059433000000000,WORF_05,16.8547993,24.9881992,439.0379944,
18,40.622959999999999,-124.068870000000000,WORM_03,9.0179300,15.8233995,399.7139893,
19,40.619532999999997,-124.080749999999990,GOG_01,315.6419983,15.8218002,519.8280029,
20,40.619117000000003,-124.080350000000000,GOG_02,194.4450073,9.0565996,526.6920166,
21,40.618420000000000,-124.081230000000010,GOV_01,193.7689972,21.5926991,490.8039856,